station_id,recorded_at,voltage_kv,load_percent,temperature_c,quality,source,sequence_number
EG-001,2026-03-01T12:45:00Z,66.536,53.884,50.622,ok,demo-generator,52
EG-001,2026-03-01T13:00:00Z,66.310,53.918,51.272,ok,demo-generator,53
EG-001,2026-03-01T13:15:00Z,66.361,53.847,50.106,ok,demo-generator,54
EG-001,2026-03-01T13:30:00Z,66.650,52.793,49.335,ok,demo-generator,55
EG-001,2026-03-01T13:45:00Z,66.514,49.586,47.237,ok,demo-generator,56
EG-001,2026-03-01T14:00:00Z,66.826,47.500,46.415,ok,demo-generator,57
EG-001,2026-03-01T14:15:00Z,66.761,45.816,45.414,ok,demo-generator,58
EG-001,2026-03-01T14:30:00Z,66.429,47.543,46.277,ok,demo-generator,59
EG-001,2026-03-01T14:45:00Z,66.426,44.247,44.874,ok,demo-generator,60
EG-001,2026-03-01T15:00:00Z,66.776,43.449,43.682,ok,demo-generator,61
EG-001,2026-03-01T15:15:00Z,66.933,42.894,43.073,ok,demo-generator,62
EG-001,2026-03-01T15:30:00Z,66.521,40.684,41.979,ok,demo-generator,63
EG-001,2026-03-01T15:45:00Z,66.766,39.798,41.849,ok,demo-generator,64
EG-001,2026-03-01T16:00:00Z,66.967,37.492,40.981,ok,demo-generator,65
EG-001,2026-03-01T16:15:00Z,66.803,37.927,39.347,ok,demo-generator,66
EG-001,2026-03-01T16:30:00Z,66.765,37.549,39.749,ok,demo-generator,67
EG-001,2026-03-01T16:45:00Z,66.819,33.692,37.211,ok,demo-generator,68
EG-001,2026-03-01T17:00:00Z,66.806,35.593,37.140,ok,demo-generator,69
EG-001,2026-03-01T17:15:00Z,67.115,32.488,36.628,ok,demo-generator,70
EG-001,2026-03-01T17:30:00Z,67.019,33.057,37.446,ok,demo-generator,71
EG-001,2026-03-01T17:45:00Z,66.758,33.335,36.704,ok,demo-generator,72
EG-001,2026-03-01T18:00:00Z,67.137,34.334,35.282,ok,demo-generator,73
EG-001,2026-03-01T18:15:00Z,67.280,32.765,35.798,ok,demo-generator,74
EG-001,2026-03-01T18:30:00Z,67.388,33.450,35.405,ok,demo-generator,75
EG-001,2026-03-01T18:45:00Z,67.190,31.527,35.231,ok,demo-generator,76
EG-001,2026-03-01T19:00:00Z,66.967,34.736,35.141,ok,demo-generator,77
EG-001,2026-03-01T19:15:00Z,66.781,34.804,33.971,ok,demo-generator,78
EG-001,2026-03-01T19:30:00Z,66.668,35.411,34.079,ok,demo-generator,79
EG-001,2026-03-01T19:45:00Z,67.023,34.653,35.031,ok,demo-generator,80
EG-001,2026-03-01T20:00:00Z,66.770,37.682,34.540,ok,demo-generator,81
EG-001,2026-03-01T20:15:00Z,66.909,38.726,34.885,ok,demo-generator,82
EG-001,2026-03-01T20:30:00Z,66.731,40.015,36.092,ok,demo-generator,83
EG-001,2026-03-01T20:45:00Z,66.559,41.252,36.757,ok,demo-generator,84
EG-001,2026-03-01T21:00:00Z,67.153,39.881,34.784,ok,demo-generator,85
EG-001,2026-03-01T21:15:00Z,66.821,42.642,36.093,ok,demo-generator,86
EG-001,2026-03-01T21:30:00Z,66.507,44.477,37.587,ok,demo-generator,87
EG-001,2026-03-01T21:45:00Z,66.384,45.838,38.586,ok,demo-generator,88
EG-001,2026-03-01T22:00:00Z,66.546,44.714,36.278,ok,demo-generator,89
EG-001,2026-03-01T22:15:00Z,66.648,46.552,38.671,ok,demo-generator,90
EG-001,2026-03-01T22:30:00Z,66.463,49.009,39.587,ok,demo-generator,91
EG-001,2026-03-01T22:45:00Z,66.919,50.258,38.521,ok,demo-generator,92
EG-001,2026-03-01T23:00:00Z,66.953,49.619,40.016,ok,demo-generator,93
EG-001,2026-03-01T23:15:00Z,66.806,51.344,40.356,ok,demo-generator,94
EG-001,2026-03-01T23:30:00Z,66.613,52.988,41.706,ok,demo-generator,95
EG-001,2026-03-01T23:45:00Z,66.301,51.986,40.253,ok,demo-generator,96
EG-001,2026-03-02T00:00:00Z,66.475,54.504,41.995,ok,demo-generator,97
EG-001,2026-03-02T00:15:00Z,66.810,54.017,41.303,ok,demo-generator,98
EG-001,2026-03-02T00:30:00Z,66.386,55.860,43.351,ok,demo-generator,99
EG-001,2026-03-02T00:45:00Z,66.804,56.401,44.618,ok,demo-generator,100
EG-001,2026-03-02T01:00:00Z,66.950,55.873,44.134,ok,demo-generator,101
EG-001,2026-03-02T01:15:00Z,66.622,53.823,44.677,ok,demo-generator,102
EG-001,2026-03-02T01:30:00Z,66.931,57.459,45.797,ok,demo-generator,103
EG-001,2026-03-02T01:45:00Z,66.482,56.922,44.939,ok,demo-generator,104
EG-001,2026-03-02T02:00:00Z,66.706,54.987,46.238,ok,demo-generator,105
EG-001,2026-03-02T02:15:00Z,66.644,56.545,46.771,ok,demo-generator,106
EG-001,2026-03-02T02:30:00Z,66.706,56.001,46.129,ok,demo-generator,107
EG-001,2026-03-02T02:45:00Z,67.025,54.904,47.308,ok,demo-generator,108
EG-001,2026-03-02T03:00:00Z,66.706,54.593,46.197,ok,demo-generator,109
EG-001,2026-03-02T03:15:00Z,67.123,55.222,48.795,ok,demo-generator,110
EG-001,2026-03-02T03:30:00Z,66.778,56.004,47.570,ok,demo-generator,111
EG-001,2026-03-02T03:45:00Z,66.877,56.720,50.053,ok,demo-generator,112
EG-001,2026-03-02T04:00:00Z,67.131,54.189,48.881,ok,demo-generator,113
EG-001,2026-03-02T04:15:00Z,67.008,54.869,50.058,ok,demo-generator,114
EG-001,2026-03-02T04:30:00Z,67.024,54.026,50.494,ok,demo-generator,115
EG-001,2026-03-02T04:45:00Z,66.576,57.348,51.488,ok,demo-generator,116
EG-001,2026-03-02T05:00:00Z,67.078,56.421,50.554,ok,demo-generator,117
EG-001,2026-03-02T05:15:00Z,66.669,56.975,52.375,ok,demo-generator,118
EG-001,2026-03-02T05:30:00Z,66.985,57.768,53.179,ok,demo-generator,119
EG-001,2026-03-02T05:45:00Z,67.085,57.919,52.812,ok,demo-generator,120
EG-001,2026-03-02T06:00:00Z,67.049,57.831,53.652,ok,demo-generator,121
EG-001,2026-03-02T06:15:00Z,66.644,56.626,53.833,ok,demo-generator,122
EG-001,2026-03-02T06:30:00Z,66.586,57.887,54.429,ok,demo-generator,123
EG-001,2026-03-02T06:45:00Z,66.966,58.318,53.951,ok,demo-generator,124
EG-001,2026-03-02T07:00:00Z,67.133,58.352,54.773,ok,demo-generator,125
EG-001,2026-03-02T07:15:00Z,66.715,58.575,53.903,ok,demo-generator,126
EG-001,2026-03-02T07:30:00Z,66.674,59.853,56.175,ok,demo-generator,127
EG-001,2026-03-02T07:45:00Z,66.960,58.121,55.370,ok,demo-generator,128
EG-001,2026-03-02T08:00:00Z,66.828,59.229,55.439,ok,demo-generator,129
EG-001,2026-03-02T08:15:00Z,66.739,58.163,55.241,ok,demo-generator,130
EG-001,2026-03-02T08:30:00Z,66.214,61.578,57.256,ok,demo-generator,131
EG-001,2026-03-02T08:45:00Z,66.284,60.554,57.175,ok,demo-generator,132
EG-001,2026-03-02T09:00:00Z,66.288,59.349,56.304,ok,demo-generator,133
EG-001,2026-03-02T09:15:00Z,66.442,61.947,56.418,ok,demo-generator,134
EG-001,2026-03-02T09:30:00Z,66.216,62.584,56.425,ok,demo-generator,135
EG-001,2026-03-02T09:45:00Z,66.023,62.988,56.885,ok,demo-generator,136
EG-001,2026-03-02T10:00:00Z,66.303,62.688,56.183,ok,demo-generator,137
EG-001,2026-03-02T10:15:00Z,66.531,61.994,57.027,ok,demo-generator,138
EG-001,2026-03-02T10:30:00Z,66.257,61.457,56.004,ok,demo-generator,139
EG-001,2026-03-02T10:45:00Z,66.663,60.246,54.560,ok,demo-generator,140
EG-001,2026-03-02T11:00:00Z,66.352,61.904,56.599,ok,demo-generator,141
EG-001,2026-03-02T11:15:00Z,65.990,61.248,54.721,ok,demo-generator,142
EG-001,2026-03-02T11:30:00Z,66.596,60.566,55.850,ok,demo-generator,143
EG-001,2026-03-02T11:45:00Z,66.650,57.458,54.704,ok,demo-generator,144
EG-001,2026-03-02T12:00:00Z,66.488,59.133,54.714,ok,demo-generator,145
EG-001,2026-03-02T12:15:00Z,66.220,56.806,53.303,ok,demo-generator,146
EG-001,2026-03-02T12:30:00Z,66.224,54.673,52.811,ok,demo-generator,147
EG-001,2026-03-02T12:45:00Z,66.609,54.742,52.223,ok,demo-generator,148
EG-001,2026-03-02T13:00:00Z,66.191,54.733,51.435,ok,demo-generator,149
EG-001,2026-03-02T13:15:00Z,66.169,51.010,49.981,ok,demo-generator,150
EG-001,2026-03-02T13:30:00Z,66.340,50.627,49.447,ok,demo-generator,151
EG-001,2026-03-02T13:45:00Z,66.220,49.388,47.742,ok,demo-generator,152
EG-001,2026-03-02T14:00:00Z,66.202,48.947,46.990,ok,demo-generator,153
EG-001,2026-03-02T14:15:00Z,66.661,47.864,47.576,ok,demo-generator,154
EG-001,2026-03-02T14:30:00Z,66.305,46.762,45.918,ok,demo-generator,155
EG-001,2026-03-02T14:45:00Z,66.525,43.627,44.654,ok,demo-generator,156
EG-001,2026-03-02T15:00:00Z,66.944,41.828,44.025,ok,demo-generator,157
EG-001,2026-03-02T15:15:00Z,66.438,40.770,42.376,ok,demo-generator,158
EG-001,2026-03-02T15:30:00Z,67.037,41.878,41.626,ok,demo-generator,159
EG-001,2026-03-02T15:45:00Z,66.648,40.017,41.637,ok,demo-generator,160
EG-001,2026-03-02T16:00:00Z,66.952,39.282,40.294,ok,demo-generator,161
EG-001,2026-03-02T16:15:00Z,66.772,36.200,39.574,ok,demo-generator,162
EG-001,2026-03-02T16:30:00Z,66.565,37.260,38.863,ok,demo-generator,163
EG-001,2026-03-02T16:45:00Z,67.372,33.686,37.266,ok,demo-generator,164
EG-001,2026-03-02T17:00:00Z,67.138,34.409,37.934,ok,demo-generator,165
EG-001,2026-03-02T17:15:00Z,66.829,35.092,38.040,ok,demo-generator,166
EG-001,2026-03-02T17:30:00Z,66.749,32.169,36.887,ok,demo-generator,167
EG-001,2026-03-02T17:45:00Z,67.206,33.540,35.817,ok,demo-generator,168
EG-001,2026-03-02T18:00:00Z,66.927,33.921,35.605,ok,demo-generator,169
EG-001,2026-03-02T18:15:00Z,66.690,33.592,35.072,ok,demo-generator,170
EG-001,2026-03-02T18:30:00Z,66.684,34.751,36.140,ok,demo-generator,171
EG-001,2026-03-02T18:45:00Z,66.820,31.783,33.649,ok,demo-generator,172
EG-001,2026-03-02T19:00:00Z,66.873,32.350,34.036,ok,demo-generator,173
EG-001,2026-03-02T19:15:00Z,66.947,34.551,34.908,ok,demo-generator,174
EG-001,2026-03-02T19:30:00Z,66.918,33.791,33.384,ok,demo-generator,175
EG-001,2026-03-02T19:45:00Z,66.840,34.715,34.793,ok,demo-generator,176
EG-001,2026-03-02T20:00:00Z,67.098,36.058,35.350,ok,demo-generator,177
EG-001,2026-03-02T20:15:00Z,66.729,39.170,35.284,ok,demo-generator,178
EG-001,2026-03-02T20:30:00Z,67.267,37.766,35.669,ok,demo-generator,179
EG-001,2026-03-02T20:45:00Z,66.940,39.737,36.383,ok,demo-generator,180
EG-001,2026-03-02T21:00:00Z,66.636,41.388,35.086,ok,demo-generator,181
EG-001,2026-03-02T21:15:00Z,66.666,42.102,35.488,ok,demo-generator,182
EG-001,2026-03-02T21:30:00Z,67.131,41.582,35.928,ok,demo-generator,183
EG-001,2026-03-02T21:45:00Z,66.579,44.228,37.986,ok,demo-generator,184
EG-001,2026-03-02T22:00:00Z,66.395,45.754,36.806,ok,demo-generator,185
EG-001,2026-03-02T22:15:00Z,66.646,46.873,37.305,ok,demo-generator,186
EG-001,2026-03-02T22:30:00Z,66.773,48.312,39.664,ok,demo-generator,187
EG-001,2026-03-02T22:45:00Z,67.052,48.028,39.326,ok,demo-generator,188
EG-001,2026-03-02T23:00:00Z,66.981,49.690,39.935,ok,demo-generator,189
EG-001,2026-03-02T23:15:00Z,66.874,51.791,40.652,ok,demo-generator,190
EG-001,2026-03-02T23:30:00Z,66.627,51.745,41.509,ok,demo-generator,191
EG-001,2026-03-02T23:45:00Z,66.690,52.971,40.752,ok,demo-generator,192
EG-002,2026-03-01T00:00:00Z,67.505,43.438,39.171,ok,demo-generator,1
EG-002,2026-03-01T00:15:00Z,67.076,43.713,39.198,ok,demo-generator,2
EG-002,2026-03-01T00:30:00Z,67.227,43.803,38.727,ok,demo-generator,3
EG-002,2026-03-01T00:45:00Z,67.175,42.385,40.522,ok,demo-generator,4
EG-002,2026-03-01T01:00:00Z,67.672,42.282,40.543,ok,demo-generator,5
EG-002,2026-03-01T01:15:00Z,67.458,43.758,39.915,ok,demo-generator,6
EG-002,2026-03-01T01:30:00Z,67.652,41.942,39.586,ok,demo-generator,7
EG-002,2026-03-01T01:45:00Z,67.804,41.439,39.860,ok,demo-generator,8
EG-002,2026-03-01T02:00:00Z,67.319,41.569,40.902,ok,demo-generator,9
EG-002,2026-03-01T02:15:00Z,67.496,41.771,42.718,ok,demo-generator,10
EG-002,2026-03-01T02:30:00Z,67.269,41.795,41.988,ok,demo-generator,11
EG-002,2026-03-01T02:45:00Z,67.568,42.672,42.472,ok,demo-generator,12
EG-002,2026-03-01T03:00:00Z,67.374,42.443,42.674,ok,demo-generator,13
EG-002,2026-03-01T03:15:00Z,67.363,42.485,44.497,ok,demo-generator,14
EG-002,2026-03-01T03:30:00Z,67.678,43.581,45.179,ok,demo-generator,15
EG-002,2026-03-01T03:45:00Z,67.938,41.938,45.012,ok,demo-generator,16
EG-002,2026-03-01T04:00:00Z,67.891,43.199,46.014,ok,demo-generator,17
EG-002,2026-03-01T04:15:00Z,67.580,44.888,47.494,ok,demo-generator,18
EG-002,2026-03-01T04:30:00Z,67.833,44.800,46.215,ok,demo-generator,19
EG-002,2026-03-01T04:45:00Z,67.711,43.715,47.439,ok,demo-generator,20
EG-002,2026-03-01T05:00:00Z,67.505,45.845,48.458,ok,demo-generator,21
EG-002,2026-03-01T05:15:00Z,67.503,46.388,47.628,ok,demo-generator,22
EG-002,2026-03-01T05:30:00Z,67.700,47.481,49.025,ok,demo-generator,23
EG-002,2026-03-01T05:45:00Z,67.153,49.055,49.843,ok,demo-generator,24
EG-002,2026-03-01T06:00:00Z,67.267,49.710,51.481,ok,demo-generator,25
EG-002,2026-03-01T06:15:00Z,67.056,53.072,52.181,ok,demo-generator,26
EG-002,2026-03-01T06:30:00Z,66.795,54.179,52.343,ok,demo-generator,27
EG-002,2026-03-01T06:45:00Z,66.789,53.322,52.458,ok,demo-generator,28
EG-002,2026-03-01T07:00:00Z,66.973,56.595,55.072,ok,demo-generator,29
EG-002,2026-03-01T07:15:00Z,66.563,57.387,53.975,ok,demo-generator,30
EG-002,2026-03-01T07:30:00Z,66.865,57.473,54.509,ok,demo-generator,31
EG-002,2026-03-01T07:45:00Z,66.883,60.238,56.515,ok,demo-generator,32
EG-002,2026-03-01T08:00:00Z,66.849,60.945,57.049,ok,demo-generator,33
EG-002,2026-03-01T08:15:00Z,66.627,62.659,56.219,ok,demo-generator,34
EG-002,2026-03-01T08:30:00Z,66.229,61.487,55.755,ok,demo-generator,35
EG-002,2026-03-01T08:45:00Z,66.327,62.512,56.114,ok,demo-generator,36
EG-002,2026-03-01T09:00:00Z,66.348,64.759,58.066,ok,demo-generator,37
EG-002,2026-03-01T09:15:00Z,65.766,66.910,58.484,ok,demo-generator,38
EG-002,2026-03-01T09:30:00Z,66.158,65.248,58.339,ok,demo-generator,39
EG-002,2026-03-01T09:45:00Z,65.954,67.535,59.444,ok,demo-generator,40
EG-002,2026-03-01T10:00:00Z,66.017,68.509,57.723,ok,demo-generator,41
EG-002,2026-03-01T10:15:00Z,65.666,66.601,58.047,ok,demo-generator,42
EG-002,2026-03-01T10:30:00Z,66.175,67.931,57.503,ok,demo-generator,43
EG-002,2026-03-01T10:45:00Z,66.048,68.952,57.499,ok,demo-generator,44
EG-002,2026-03-01T11:00:00Z,65.881,68.035,56.697,ok,demo-generator,45
EG-002,2026-03-01T11:15:00Z,65.553,67.699,58.212,ok,demo-generator,46
EG-002,2026-03-01T11:30:00Z,65.992,67.896,57.411,ok,demo-generator,47
EG-002,2026-03-01T11:45:00Z,66.121,65.503,55.595,ok,demo-generator,48
EG-002,2026-03-01T12:00:00Z,65.561,65.334,54.893,ok,demo-generator,49
EG-002,2026-03-01T12:15:00Z,65.616,66.763,56.679,ok,demo-generator,50
EG-002,2026-03-01T12:30:00Z,65.761,63.535,54.593,ok,demo-generator,51
EG-002,2026-03-01T12:45:00Z,65.722,64.495,54.125,ok,demo-generator,52
EG-002,2026-03-01T13:00:00Z,65.919,63.227,52.968,ok,demo-generator,53
EG-002,2026-03-01T13:15:00Z,65.768,61.397,52.937,ok,demo-generator,54
EG-002,2026-03-01T13:30:00Z,65.820,58.564,51.540,ok,demo-generator,55
EG-002,2026-03-01T13:45:00Z,66.210,58.597,51.929,ok,demo-generator,56
EG-002,2026-03-01T14:00:00Z,65.890,55.539,48.591,ok,demo-generator,57
EG-002,2026-03-01T14:15:00Z,66.102,55.876,49.894,ok,demo-generator,58
EG-002,2026-03-01T14:30:00Z,65.831,54.446,48.153,ok,demo-generator,59
EG-002,2026-03-01T14:45:00Z,66.258,52.534,47.313,ok,demo-generator,60
EG-002,2026-03-01T15:00:00Z,66.351,53.368,46.729,ok,demo-generator,61
EG-002,2026-03-01T15:15:00Z,66.132,50.359,45.340,ok,demo-generator,62
EG-002,2026-03-01T15:30:00Z,66.314,47.581,44.006,ok,demo-generator,63
EG-002,2026-03-01T15:45:00Z,66.025,47.183,44.813,ok,demo-generator,64
EG-002,2026-03-01T16:00:00Z,66.457,47.291,43.762,ok,demo-generator,65
EG-002,2026-03-01T16:15:00Z,66.176,46.471,42.886,ok,demo-generator,66
EG-002,2026-03-01T16:30:00Z,66.267,43.869,41.164,ok,demo-generator,67
EG-002,2026-03-01T16:45:00Z,66.682,44.323,41.961,ok,demo-generator,68
EG-002,2026-03-01T17:00:00Z,66.687,44.427,39.637,ok,demo-generator,69
EG-002,2026-03-01T17:15:00Z,66.608,42.802,39.401,ok,demo-generator,70
EG-002,2026-03-01T17:30:00Z,66.946,40.126,38.637,ok,demo-generator,71
EG-002,2026-03-01T17:45:00Z,66.572,40.293,38.626,ok,demo-generator,72
EG-002,2026-03-01T18:00:00Z,66.676,42.426,39.352,ok,demo-generator,73
EG-002,2026-03-01T18:15:00Z,66.577,41.710,37.106,ok,demo-generator,74
EG-002,2026-03-01T18:30:00Z,67.142,39.155,36.334,ok,demo-generator,75
EG-002,2026-03-01T18:45:00Z,66.833,39.374,37.484,ok,demo-generator,76
EG-002,2026-03-01T19:00:00Z,66.706,41.611,36.355,ok,demo-generator,77
EG-002,2026-03-01T19:15:00Z,67.049,40.522,35.638,ok,demo-generator,78
EG-002,2026-03-01T19:30:00Z,66.745,40.820,36.720,ok,demo-generator,79
EG-002,2026-03-01T19:45:00Z,66.501,41.656,36.179,ok,demo-generator,80
EG-002,2026-03-01T20:00:00Z,66.805,39.277,35.597,ok,demo-generator,81
EG-002,2026-03-01T20:15:00Z,66.694,41.778,35.538,ok,demo-generator,82
EG-002,2026-03-01T20:30:00Z,67.261,41.210,35.651,ok,demo-generator,83
EG-002,2026-03-01T20:45:00Z,66.684,43.248,36.116,ok,demo-generator,84
EG-002,2026-03-01T21:00:00Z,66.697,41.211,35.832,ok,demo-generator,85
EG-002,2026-03-01T21:15:00Z,67.277,42.068,36.103,ok,demo-generator,86
EG-002,2026-03-01T21:30:00Z,66.854,43.282,37.469,ok,demo-generator,87
EG-002,2026-03-01T21:45:00Z,67.052,42.831,36.704,ok,demo-generator,88
EG-002,2026-03-01T22:00:00Z,67.055,44.572,37.953,ok,demo-generator,89
EG-002,2026-03-01T22:15:00Z,67.169,42.406,35.948,ok,demo-generator,90
EG-002,2026-03-01T22:30:00Z,67.322,41.889,36.606,ok,demo-generator,91
EG-002,2026-03-01T22:45:00Z,66.800,42.928,37.143,ok,demo-generator,92
EG-002,2026-03-01T23:00:00Z,67.406,45.042,37.988,ok,demo-generator,93
EG-002,2026-03-01T23:15:00Z,66.920,43.473,37.515,ok,demo-generator,94
EG-002,2026-03-01T23:30:00Z,67.497,42.776,36.801,ok,demo-generator,95
EG-002,2026-03-01T23:45:00Z,67.038,43.192,37.504,ok,demo-generator,96
EG-002,2026-03-02T00:00:00Z,67.333,43.336,38.914,ok,demo-generator,97
EG-002,2026-03-02T00:15:00Z,67.265,41.905,37.468,ok,demo-generator,98
EG-002,2026-03-02T00:30:00Z,67.493,44.104,40.578,ok,demo-generator,99
EG-002,2026-03-02T00:45:00Z,67.371,41.437,38.070,ok,demo-generator,100
EG-002,2026-03-02T01:00:00Z,67.137,44.437,40.490,ok,demo-generator,101
EG-002,2026-03-02T01:15:00Z,67.365,41.274,40.033,ok,demo-generator,102
EG-002,2026-03-02T01:30:00Z,67.599,41.344,39.350,ok,demo-generator,103
EG-002,2026-03-02T01:45:00Z,67.335,42.837,40.622,ok,demo-generator,104
EG-002,2026-03-02T02:00:00Z,67.282,42.416,40.939,ok,demo-generator,105
EG-002,2026-03-02T02:15:00Z,67.800,43.158,42.029,ok,demo-generator,106
EG-002,2026-03-02T02:30:00Z,67.993,40.673,40.962,ok,demo-generator,107
EG-002,2026-03-02T02:45:00Z,67.595,42.561,42.810,ok,demo-generator,108
EG-002,2026-03-02T03:00:00Z,67.695,42.788,44.617,ok,demo-generator,109
EG-002,2026-03-02T03:15:00Z,67.229,43.362,44.312,ok,demo-generator,110
EG-002,2026-03-02T03:30:00Z,67.326,43.742,43.696,ok,demo-generator,111
EG-002,2026-03-02T03:45:00Z,67.800,42.711,45.240,ok,demo-generator,112
EG-002,2026-03-02T04:00:00Z,67.273,43.927,44.957,ok,demo-generator,113
EG-002,2026-03-02T04:15:00Z,67.548,42.668,44.926,ok,demo-generator,114
EG-002,2026-03-02T04:30:00Z,67.209,44.958,46.943,ok,demo-generator,115
EG-002,2026-03-02T04:45:00Z,67.401,45.475,47.067,ok,demo-generator,116
EG-002,2026-03-02T05:00:00Z,67.147,45.453,47.769,ok,demo-generator,117
EG-002,2026-03-02T05:15:00Z,67.223,45.647,48.513,ok,demo-generator,118
EG-002,2026-03-02T05:30:00Z,67.270,46.284,49.753,ok,demo-generator,119
EG-002,2026-03-02T05:45:00Z,67.382,47.547,48.941,ok,demo-generator,120
EG-002,2026-03-02T06:00:00Z,67.373,48.455,51.485,ok,demo-generator,121
EG-002,2026-03-02T06:15:00Z,67.405,51.792,52.324,ok,demo-generator,122
EG-002,2026-03-02T06:30:00Z,67.469,51.578,52.751,ok,demo-generator,123
EG-002,2026-03-02T06:45:00Z,67.196,54.138,53.373,ok,demo-generator,124
EG-002,2026-03-02T07:00:00Z,66.647,55.805,54.390,ok,demo-generator,125
EG-002,2026-03-02T07:15:00Z,66.713,57.642,54.820,ok,demo-generator,126
EG-002,2026-03-02T07:30:00Z,66.537,57.912,54.756,ok,demo-generator,127
EG-002,2026-03-02T07:45:00Z,66.598,59.482,55.678,ok,demo-generator,128
EG-002,2026-03-02T08:00:00Z,66.646,61.567,56.271,ok,demo-generator,129
EG-002,2026-03-02T08:15:00Z,66.770,60.517,55.194,ok,demo-generator,130
EG-002,2026-03-02T08:30:00Z,66.694,60.933,55.321,ok,demo-generator,131
